Rating,Review,category
3,Very nyc my daughter 9 months old she enjoys to play with this toy. Very attractive and colourful,toys
1,bad sevices I never expect this,mobile
1,Quality is k but may worth for 60rs that s all . I felt simply paid double amount,toys
5,Just good..,fashion
5,A little slow in the beginning but grips you after that. A good read,books
5,My first Saralkar case storey and i totally enjoyed reading it. The suspense remained till the end. I am a fan of thriller and suspense movies and so i figured out the track towards the end but the tuning between Saralkar and Motakar is amazingly written and described in the book.,books
5,I am satistied,fashion
2,Poor Quality,fashion
5,Good qualityWorth itMust buy,home
2,I never expect from you ,fashion
2,Even months baby can bend it if he press tightly.. Waste product..,toys
5,Keeps u on the tip till end,books
2,not recommended,mobile
5,It s fabulous,home
1,Poor quality,toys
5,It s not a original product  no IEC standard codes or labels on itPlastic quality is very poor and cheapNot a Philips standard product.,home
5,A good read. Though like any other Indian author thriller  needless mention of a couple tryst  just like our bollywood movies have needless song in the middle of a strong storyline. Apart from that a good one.,books
4,"I had been using Android mobiles before iPhone 11, after using my iPhone 11, I felt very bad that I wasted my time and money on Android phones.Reason to change from Android to iPhone - Privacy, security and few ads that were shown on Android were shocking, that time I felt like I should move away from Android.Why I Love iPhone?1) Easy navigation, it understands humans very well, it exactly does what we want to do / act next. amazing.2) 100% Privacy and security. I can kept my iphone at any place in my home or office, no one can see my messages / whatapp popups etc. Feeling relaxed.3) Good Camera, equivalent to professional Canon/ Sony cameras. Half of my professional photography and video work is done on iPhone. It saves money too.4) Good battery life, User friendly system.5) Super fast system.",mobile
4,Over a nice phone.Camera quality is very good.Fast charging and longer batter backup.Good phone,mobile
4,This is an easy to read book that is very informative. Mr Keller avoids the extraneous and gives an excellent way to evaluate and use your own perceptions of yourself. If you needed to choose a way to get things done in your life  this is a great way to start. He gets right to the point and there is little doubt of what is important along the way.Motivation is something that everyone is looking for these days and things like attitude and discipline are the heart of motivation. Books like this give people a truthful way to go  there is no free lunch.,books
2,Overall  the Toy is OK. But!,toys
5,the product was not good,fashion
1,features is not good ,mobile
1,waste of money,fashion
4,Very good product,toys
3,Good,toys
2,Don't buy from their its Heating badly,mobile
2,not so good!!!!,fashion
2,Production is good. But it s smiley cap very loose ???????,toys
4,Fully satisfied with this product. Must buy it for your kids. Quality also very good.,toys
1,careless staff,fashion
2,Colors mentioned in the image is different from what I received and also instead of smiley it was duck. Quite upset with product.,toys
2,The product is not worth considering quality of plastic. Very cheap plastic.,toys
2,Quality is poor,toys
4,The media could not be loaded. ?ÿIt has sharp edges all over the product  which we need to clear first.,toys
4,In INR 132  good product  Price should have been lower. Good quality  paisa vasool.,toys
3,Costly products,toys
2,bad ..waste of money,toys
5,Very nice,fashion
1,"Don't buy this phone, it's bulshit. Waste of money, the camera quality is very low and battery is also less.",mobile
4,like,fashion
5,Totally disappointed  the function buttons are not working only except pressure cooker. So not happy at all. Seems the product not checked before delivery or it might be taken from damaged stock. Please ensure to exchange or replace the product on urgent basis. Since the product is defective.Please ensure to replace urgently since warranty period is one year from purchase date. Thank you.,home
4,Good,toys
2,Product is good.but doesn t deserve the amount for that material .No bad products it s okok  can opt this,toys
5,This book is truly a masterpiece in crime thriller genre.It s very very very gripping and interesting. The story will not let u go until u finish it.It has the most unpredictable climax.This book impresses the reader from the beginning to the end.It is a must buy no doubt.,books
4,Good,mobile
5,I had just received product 2 days ago  now trying to do. Nothing is working.Amazon not ready to pickup itself.I m not able to send this product back to amazon because of Post Office  Not ready to accept the package. Now I m just weeping. I loose full money.,home
5,The media could not be loaded. ?ÿRubbish product...Don t buy....,fashion
5,I love thik book.. The title  the mystery  the characters  the writing is simply superb. Highely recommended for thriller lovers.,books
1,features is not good ,mobile
1,Bad product,fashion
2,Don‹¨«t buy after 4months phone not worked no product support,mobile
1,Camera quality not so much Good as others phone 68 mp camera,mobile
5,when nob is at 2nd position  only outer periphery of coil is burning. Rest on position 1 & 3 it is ok.,home
4,Price justified.,toys
5,They claim extended cooling technology - but forgot to install an automatic cut-off.Essentially  the device comes with a built-in fan for cooling. I already have PIC 12 model in which  after the heating is done  the fan runs for about a minute or so and automatically switches off.But in PIC 20  it never switches off. They claim it is  extended cooling technology  and we need to wait another 5 to 10 minutes before switching off the device. Are they expecting us to use another TIMER to wait for 5 minutes?This is electronic-age  a simple timer they could have incorporated  if needed with a thermostat so as to turn off the fan at the right time.In short  I returned the item.,home
1,The quality would have been better. I think the price is a little high.,toys
1,Over heat,mobile
1,Very bad bad product I say I really don t buy and I expected but not this type of shoues don t buy,fashion
1,Dummy model,mobile
5,Liked it,fashion
5,Got first one w/o manual or warranty card. Asked for replacement. Got total broken one. And neither any return/refund happening.,home
2,dont buy it.,toys
2,estimation are not reached,mobile
1,colour is too bad,mobile
2,not safe for 6 years old babies,fashion
1,Worst,fashion
1,bad response,fashion
5,I have been using induction from past 9 year and thought of switching to prestige as ipd one was giving some problem. When we opened it the induction refused to even start :( the technician came and did something and it got started..but now in 10 seconds it switches off... the reason why we switched to prestige as my mom is using ae from past 10 years and never faced a single issue till date... i shouldn t have bought online :(,home
3,Nice,toys
4,Nice and comfort,fashion
5,simply wonderful product,fashion
3,Product is gud in this price .. but not packed properly   no box   only in Amazon polythene   product is light weight not sturdi,toys
5,Excellent one,fashion
2,Quality not good,toys
5,Guys Horrible experience in terms of branded electric appliance. How could a brand like Prestige would manufacture such low quality product? I used it only five times in three months and then one day it doesn t work. What the hell! I feel it s better to buy some not so famous brand items rather checking out brands. This product sucks. My money  time everything wasted. Feeling so disappointed right now.,home
2,I never expect from you ,mobile
2,Over heat,mobile
5,I really like it,fashion
5,Amazing,fashion
1,Cheap quality plastic product,toys
1,Value for money... Packing is so good... Totally awesome product.... My 10 m old is liking this toy very much.... Tks Amazon,toys
5,Use it daily for general cooking. Nice. Till now faced no issues.,home
5,Nice story ....,books
3,very good book,books
2,Not comfortable,fashion
5,Its been exactly 11 months since I bought this product and has stopped working twice. A much cheaper bajaj   which i had earlier to philips  used to be such a workhorse and yet had very little issues. Dreading the day when my philips stove will be out of warranty and it stops working  Iwould most probably trash it . Though I am a fan of philips products  I would recommend potential customers to stay away from this particular induction stove.,home
4,Better,mobile
1,Dislike and I use daily,fashion
4,Very good to keep kids busy,toys
3,Quality is not very good. Very light so easy for baby to play. The smiley was faded when the product arrived and has completely gone in about a week,toys
5,The product as it says is soft touch to operate  its not .. the reason i returned in a day was   the soft touch buttons are so hard to operate  which means the quality is poor and very soon the buttons will go bad  and we will have to spend heft amount fixing the same.,home
4,Very nice product at this price. Nice colors. Happy Customer !????,toys
4,Nice product super,toys
5,Had been using regularly...quite a reliable product which meets all cooking requirements.One advice - At any point of time if you experience delayed heating  do check your cookware as well...its a teamwork amongst Induction plate and cookware.,home
5,Thoroughly enjoyed the book  I finished it in 12 hours. The writing and character building was done well and although I had a slight inkling of the climax halfway through it didn t take away the pleasure of reading such a good book!Take a bow Salil Desai  really well written!,books
5,I like the shoes.,fashion
1,Quality not good,toys
5,Value for money. Nice product. Good to use. Go ahead and u can buy.,home
1,dull quality,fashion
4,You won t play regular Uno anymore once you try this....Guys  this is a really fun  fast paced game. Although it takes a few plays to understand all the specialty cards  and at times it can get a bit tricky  once you read the rules and play a few times  you get the hang of it.Inexpensive game  easy to travel with it   easy to learn and you can get several games in if you only have an hour or so to play,toys
4,Good brand,mobile
4,My 5 year old liked it very much,toys
2,delivery charges is too high,home
4,good worth to buy,mobile
1,stupid,books
5,wow nice quality and product,fashion
2,Dislike and return back.,fashion
2,Excellent,toys
5,I love it,clothing
2,No,mobile
2,stupid,books
1,No sharp edges.. toy is light weight and bright in Colour. Hence attracts kids.,toys
5,I ordered this just 15 days back for some emergency use in the house. Due to problem being solved  I did not open it thinking why to check such a renown brand  and coming through such a source (Amazon  as hardly I got any issues with products).. but today when I took it out to use (unwrapped today)  it s not working only. Since the return period is also over  Pigeon customer care is not reachable  I don t know whom to contact or what to repair in this (even after watching multiple YouTube videos). Buying electronics online is always a challenge  thus I m facing another one. Not Ok with the product. I wasn t expecting a damage piece after unboxing no matter what day I do. So I don t even want to give one star  but thia is the least option available. ,home
3,Light weight,toys
4,Got the product for a better price compared to the offline stores,mobile
5,Nice shoes,fashion
4,Everything was good except for the top ball with smiley on it. It was so loose that if you try to pick up the complete set of rings you can t and the reason was that topmost smiley was not getting locked properly while putting it over rings.,toys
1,book is too bad,books
3,Ok,toys
1,Worst product don't buy from this dealer. Buy genuine products from iplanet. Just now got it found defective.,mobile
1,I hate this product,home
5,simply wonderful product,fashion
5,Good quality product.,fashion
2,Not better,fashion
1,waste of money,fashion
1,boring game,fashion
1,Poor quality,toys
3,Product same as image. Quality product. Size & thickness also good,toys
2,services are very bad,fashion
5,I love it,clothing
3,Good one for children entertainment. It s too light which I think make it cheap  but I thinks it should be lil more sturdy. Btw  i got it in Rs126. It s okay!!,toys
5,I love it,clothing
1,Its not at all friendly for infants  it has sharp edges  it hurts when kids keep in mouth..,toys
1,Dislike and return back.,fashion
1,Bad product,fashion
1,bad sevices I never expect this,mobile
1,The quality is really bad. I know it might be cheap but you are not getting anything for the money you are paying.,toys
4,"Bought this in August 2021, and itï¿½s the best phone Iï¿½ve ever had. Transitioning from Android to iOS was smooth, this phone is much easier to navigate and use. Camera is great.Buying an IPhone 11 in 2022 is definitely worth it, especially at the current price point.But please avoid buying it from the seller ï¿½Darshita Electronicsï¿½ , they messed up my exchange offer process and I got the phone delivered only 2 days after original date.",mobile
5,I am satistied,fashion
3,My lo plays all the time with it,toys
5,I love it,fashion
3,Its an average ,mobile
1,This is good after 17 months as my 10 month old started to throw it away,toys
4,Reasonable for the price  I ordered it with special offer at Rs. 130 woth free delivery. My baby is fully amazed woth it and plays with it for hours daily. Packaging was quite good. Overall nice product for the small babies.,toys
1,funny  toy,fashion
1,No proper packing  no thickness  very light and dull looking.,toys
1,frustrating,fashion
5,This is an amazing product with elegant design and user friendly operating functions.Power consumtion is also less as we are afraid of power consumption.Philips is too good in its technology.Do not buy any local brands go for this product and you will not regret.Gift it to your wife she will love it. A must have add on for your kitchen.,home
2,this product don't reach my expectations ,home
4,The puzzles are very good and attractive. My son loves to play with those puzzles.,toys
1,Poor Quality,fashion
5,Overall  it s a great mystery novel. Mid-way the novel you try to guess the killer  by joining the pieces of the puzzle. Despite satisfying theories  I could answer to many of my questions. Happy to see great content coming from Indian author,books
5,Excellent one,fashion
1,funny puzzle,fashion
5,Excellent one,fashion
5,Loved the beginning and the middle part. Also the end twist is great but it could be more finished. Ending is not great as the beginning and middle but then also good till a certain point. It could more polished. Surely gonna buy other books by salil desai,books
3,you can buy it  but its need improvement,mobile
2,Not so good in this price range,mobile
1,Very light weight and due to this it s not stable ..,toys
4,Very good quality and nice pictures,toys
5,I am writing the review after using for 2 days rigorously. I didn t research much before buying  but this is my first induction oven and I am very happy after using it. It s very easy to operate  even my 7 years old daughter could make instant noodles on it. Food cooks really fast. So far so good  I am happy to cook full course meal with it.,home
2,Money worth it  useful  attractive and coloured,toys
5,This product is good with 4star quality,fashion
4,Good stuff for the price. Looks durable.,toys
2,Very disappointed. I bought this phone three months back and now battery drains so fast (80 % to 40 % within 10 mins).,mobile
3,Just the right dosage of why a positive attitude is that important and how to attain it! Simple  straight forward  and well written with very good picks of stories and sayings to illustrate his points! A great read that can be completed within two hours  though it will take much committment to put the teachings into practice and to re-read it regularly to fight against our inertia to change and improve. Highly recommended!Below please find some of my favorite passages for your reference.Attitudes are a secret power working 24 hours a day  for good or bad. pg 12You must first see clearly a thing in your mind before you can do it. - Alex Morrison pg 27One person with a commitment is worth more than 100 people who have only an interest. - Mary Crowley pg 41 Am I willing to do whatever it takes to achieve this goal?  If your answer is   I ll do just about anything  excpet that I wont do ____   then frankly  you re not committed. pg 44Repeat anything often enough and it will start to become you. - Tom Hopkins pg 55My blindness is a trivial affliction and just barely an inconvenience. - Kent Cullers  Head of NASA s Search for ET Intelligence Project. pg 60Choose words that will point you in the direction of your goals. pg 64If you want to be successful  you must be willing to be uncomfortable  to do things that you are afraid to do. pg 95And the one  YES  (from a publisher) after 33 failures is what launched the spectacular success of Chicken Soup for the Soul. pg 111Success seems to be a largely a number of hanging on after others have let go. - William Feather pg 112If you are positive and enthusiastic  people will want to spend time with you. pg 118I am convinced that life is 10 percent what happens to me and 90% how I react to it. - Charles Swindoll pg 129,books
1,lot of issues after using this product,mobile
5,wow nice quality and product,fashion
2,repairing issues after using 3 months,home
3,GD product safe for babies when baby starts to hold things it ll b useful they can hold rings and play with it,toys
1,late delivery,mobile
5,This wonderful piece has made my life so much convenient.I am a night owl. I love making tea  coffee  noodles  or anything instant. This serves my need.Wanna have a closer look at the actual product from the customer rather than from the seller?Ping me at my Instagram: Min_Genaa,home
5,Lite Weight n good quality,fashion
5,Keeps turning off on its own.Won t turn on mostly.Been using it since two weeks. Wish there was a way to fix this. I didn t exchange thinking it will be fine but this piece does not live up to the name of prestige.Edit: 13th oct 2020I had to add one more star in appreciation for the technician and the technical support of prestige who s been so helpful in listening to my complaints and providing free service.Though we barely use it I had to get it fixed and got it serviced 4 times till date in less than a year. Just yesterday the technician came and changed the motherboard free of charge under warranty. Hopefully this will not give anymore trouble. I had an old one from prestige which I used for about 15 years on and off and never had issue with that one.,home
5,Very bad service..kept calling the service centre repeatedly but no response..very less service centre in India ..it s like use and throw...search for a better branded product with 200-300 bugs more and you won t regret.,home
1,shit product,fashion
4,We have ordered Prestige Induction Plate on 27th July 2018  Order Number 17151722342608350  we have received a faulty product we want to replace the same.Thanks and regardsDeepak Gawde+91 8169011408,home
3,Good one.... thickness need to improve,toys
5,The product as it says is soft touch to operate  its not .. the reason i returned in a day was   the soft touch buttons are so hard to operate  which means the quality is poor and very soon the buttons will go bad  and we will have to spend heft amount fixing the same.,home
1,Quality not good,toys
5,Using less than one week now working fine,home
4,Good item with genuine price. My kid is enjoying this a lot.,toys
5,Model number: PIC 20Style: Induction CooktopVery bad experience in terms of branded electric appliance. How could a brand like Prestige would manufacture such low quality product? I used it only five times in two months and then one day it doesn t work. I then call customer care they said you are in red zone during covid 19 we can t visit and after one month I again call them. One of their engineer come and say it PCB is damage we had to repair it. When I asked him to replace the piece or PCB he only said no we can only repair it till guarantee period.What the hell! I feel it s better to buy some not so famous brand items rather checking out brands. This product sucks. My money  time everything wasted. Feeling so disappointed right now.,home
4,It's premium! Best phone under 30k nord is direct answer!! One bad is it asks many permissions,mobile
1,Value for money and light weight but packaging was not great,toys
2,I dont like It ..,clothing
4,The media could not be loaded.,mobile
5,I am satistied,fashion
2,Ok. Not bad not good. Ok for baby to play. No sharp edges.,toys
4,Can t one believe such writing  Awesome. The writer should get Prize.,books
1,dirty ,home
5,I love it,clothing
5,The product was delivered on 13th September. I started using it from 20th September. Within 10 days the product developed repairs and has stopped working.The product says One year warranty. Not sure whom to contact as Prestige is not responding to any calls.Return window expired 3 days back.Need some help from Amazon,home
1,Very small,toys
5,Fantastic one,fashion
4,very good book,books
3,Its good.Plastic is okay.,toys
1,Very delicate.... poor quality plastic... waste of money....,toys
1,Very bad bad product I say I really don t buy and I expected but not this type of shoues don t buy,fashion
2,Received in a good condition  looks like in the picture  but not used yet,toys
5,This product has issues with the timer. It automatically puts it self off within 5mins and make beeping noice.,home
5,I received this book months ago but have gotten down to reviewing it only now. Not done  I know ????! But I must say that after a long time have I had the opportunity to read such an absorbing murder mystery. Simply thrilling!Senior Inspector Saralkar is called upon a case where a couple are found dead inside their Pune flat. The husband  hanging down a rope and the wife  lying across a bed with her face brutally disfigured. A suicide note is found that clearly states that the husband killed his wife and then committed suicide as a result of an involvement of the wife in an affair. Although it seems straight forward at first  there are pieces that don t fit together for Saralkar. He  along with his team  get down to solving this perplexed situation at hand  only to find things getting worse as they progress.3 and a Half Murders is by Salil Desai  who has previously authored other mysteries as well. I loved the book! From the start  I was spellbound with the narration. A classic who-dun-it  the story moves in a neck breaking speed  indulging the readers with subtle clues and new snippets of information. The story line is intelligent with punches of emotions and humor from time to time. Straight-to-the point narrative  a clear plot and relatable characters is what makes the book extremely fascinting.The story is based in Pune (happy dance!) and the character of Inspector Saralkar is so aptly portrayed. In fact  it checks all the right boxes for a murder mystery. Uh  did I mention it is one of the most absorbing murder mysteries I have read in a long time?These are the kind of books that make me want to keep going back and drink more of the mystery juice! I am definitely going to look out for other books by the author and review them here  so watch this space for more.I totally recommend 3 and a Half Murders if you are a murder mystery fan  I guarantee you ll love it!,books
2,Plastic is of cheap quality,toys
2,lot of issues after using this product,fashion
1,Quality is not good,toys
2,I hate it,mobile
2,puzzle is so easy and very boring,home
1,delivery issues,fashion
4,Value for money. I paid 135 rupeesLight weight - Kids can handle easilyPackaging could have been better. Received the product just wrapped with a plastic cover.,toys
5,Good quality products we are 2nd type purchased,home
2,problems with product quality,books
1,wastet of money,fashion
4,While there are some really fantastic detective fictions and adventure books already published in India  it is rare to see a police procedural set in Indian environment.  3 And A Half Murders  by author Salil Desai is one such book which is worth reading.The book is written nicely where characters are build gradually and their persona will leave it s impact on you throughout reading and even afterwards. If you love to watch movies starring Arnold Schwarzenegger or James Bond film series  you know how sarcasm and punchlines make the tricky situations also light weight.Here are some good pieces of writing from the book itself:Outside  in the drawing room  the man s body swung lifelessly from a noose of nylon rope  fastened to a ceiling hook. He obviously wasn t watching the programme playing on the sports channel  but the television is on.---Happiness is a journey. Begin that journey today. No advance reservation is required for this journey. Just board the train. Don t put it off  don t delay  don t cancel your ticket!---â€¦only dishonest cops keep lockers. The honest ones are only familiar with lock-ups.---The book is good in terms of pace and even the characters are build nicely. Twists are coming at regular intervals in the book. Other good thing about the book is  it have avoided all kind of adult content  which otherwise is seen put by even some famous authors too.If you love crime thrillers and have appetite for police proceudrals  you will surely love to explore it.,books
1,some parts are missing ,mobile
5,It stopped working after a month. Warranty is of no use as they don t have any customer care number. You will need to write an email to the. They will then share their local engineer s number. The engineer will charge you 150 rs for the visit. Have a back up because the whole process will take 3 months.1 month to register a complain.1 month for engineer to visit your place.1 month or a half to get the faulty part replaced.Buy at your own risk.,home
2,not recommended,shoes
2,Comparing the quality of the product the price is too high.. ok ok types product.,toys
3,Value for money  don t have any sharp corners,toys
5,Predicted storyline  nothing new,books
4,Quality is good  best toy for kids,toys
2,delivery issues,home
1,late delivery,books
4,Good product,toys
1,As it is used by babies should not have sharp edges.. but it s not finely shaped and smooth surfaces,toys
1,Not comparable for walking and jogging too tight.size is same as other brand but this item was very tight. Actually I want return back  bottom was damaged.,fashion
5,New review: New model has temperature settings of 500 and then 1000  earlier it was 500  800  1000  1100  1200  which was useful to control the heat better.The buttons are not feather touch. Quality of the wire is also less now. Earlier it was good and strong  now its more thin/easy to bend. They should have more stand height as the fan has very less space to get air. It gets dirty too soon  and chokes.We purchased Pigeon and it was worse.So we purchased Prestige again  it lasted 1.2 years  just about warranty time.Then it stops automatically and repair cost is 800 (nearly half its price) for 6 months.Waste  but no option.Old Review: Our Glass broke and the repair charges is 75-80% of the product.Other than that  compared to Pigeon that we purchased to replace the broken item  Prestige is good.,home
5,Guys Horrible experience in terms of branded electric appliance. How could a brand like Prestige would manufacture such low quality product? I used it only five times in three months and then one day it doesn t work. What the hell! I feel it s better to buy some not so famous brand items rather checking out brands. This product sucks. My money  time everything wasted. Feeling so disappointed right now.,home
4,Although height is small it s best for children. Just go for it,toys
4,good if you use it for social media and YouTube coz screen quality is really good. Average camera does not do justice to pics taken from this phone as shows incorrect colours.,mobile
4,My child enjoy playing with the rings,toys
3,Colour are broght and good but the base is also hollow which should be solid or atleast of hard material. And received without cartoon only shipped by putting sticker over it.. not packed in any cartoon box.Really very bad impression. Never expected this from Amazon.????,toys
4,It worked properly only 25 days. Intermittently it shows E2 error when above 245volts. Sometimes it works  sometimes not as most of time my home has good voltage of 240-260v. So  It can t be relied upon. I Got it for 1100. Don t buy above 1100. Service/warranty is of no use. You will end up spending more than cost on follow up. On site-service should be provided or guarantee(not warranty) from Amazon.,home
5,It s our second one  it lasted almost ten years  but couldn t have it repaired properly  so we bought a new one.,home
1,It's Worst lot of network issue,mobile
2,Battery is draining fast. Mic is not good.,mobile
2,I hate it,mobile
4,Light weightExcellentValue for money,mobile
3,Quality is little bit low...,toys
2,not having proper response when I am contact with director,fashion
1,Bad,fashion
3,"Really good device with great looks and screen. camera is quality is really bad, do not trust online reviews. Can't game on this.Buy for light use and older generation people.",mobile
2,Product wise price is too high...plastic quality is not good...,toys
2,dull colour ,fashion
2,Good,toys
3,Its an average ,mobile
4,As I‹¨«m a gamer so this phone‹¨«s battery drain as fast as hell,mobile
3,I was looking for something else. This book is about motivation. It appears to be from the era of possibility thinkers. It seems to be a good motivational book designed to get people to make a positive change in their lives. I was looking for something that dealt with actual attitudes.,books
5,I love it,clothing
2,unhappy with delivery response,books
5,Worst after sale service  my induction stopped working in just 20 days and now it s almost 1 month my induction is in service center they are not ready to replace it at all and I am just getting fake assurance that I will get it tomorrow or on coming Monday and all. Don t by prestige and more is my personal view now .,home
3,Its an average ,mobile
5,worst product.exactly after 1 month the induction stopped working  made complaint to service center on 16.09.2020 since then no technician and no call  everyday i call to service center and same story forwarding your complaint that set  gods know really they bother about customer or not.really pissed off with this product and their service,home
1,Dislike and return back.,fashion
3,Tongue in cheek   detective story! Funny and intriguing at same time! Very entertaining set in modern day India! Namaste!,books
2,stupid,books
2,I dont like It ..,home
4,Good,toys
5,Very bad .... Poor quality.... Don t buy this one .,fashion
3,Hejej,mobile
4,Not worth for the money.,toys
5,simply wonderful product,fashion
4,I got only one puzzle,toys
2,not happy,fashion
1,Didn't received protective case.,mobile
5,The product is excellent. Initially  I was in two minds reading some negative comments  but I took a chance as Prestige is a reputed brand. On opening the product  I found it exactly as per the expectations. The heater was nicely packed and delivered on schedule. There were no issues with the packing / wiring of insulation or internal parts  as claimed by some buyers. Those may be isolated cases. The product has many push buttons customised for indian items  like pressure cooker  milk boiling  keeping food warm  deep frying etc. The heater has adjustable temperature/ power for customised heating. The product is light weight and has reasonably good workmanship. For those  who are in two minds  please go for this product. There may be other better products (which I have not tried)  but definitely this product is worth the price.One more thing I would like to add here is that we need flat bottom SS utensils for heating on this induction heater. So if you do not already have them  please do order induction-compatible utensils/cookers.,home
3,Review,mobile
4,Good my kid love it,toys
3,"Well not much to say, Its a great phone to purchase in 2022. This is my first iphone which bought a week ago. I loved it a lot. Please guys after purchasing just go to your settings and do a software update. It will fix your heating issues and camera issues as well but if u still think its not good for you then go for return. I'm using quite well from past a week and hopefully will be able to use for couple of more years.",mobile
4,Product is good  although my baby not taking interest in this toy.. But quality of product is not good. Product is light weight but little bit costly as it is available in market in 100 rs. But due to corona I am avoiding to do market so not very costly for me as delivered to my door. Packing was not there just bill attached....,toys
5,The product stopped working after 3mnths or purchase and while complaining to the service center no one is helping  worst company and worst service i have ever seen.The agents are not active and helpfull. Now don t know what to do with the product.,home
1,Waste of moneyOld products selling by Amazon,toys
2,stupid,home
5,This is a great book!!! It really help me understand the importance of attitude  our thoughts and the words we speak. Positive thoughts and words can really change how we view situations in our daily lives. It s amazing how powerful personal perspective is.,books
1,not great,fashion
4,There are mostly middle class people in India who only want to reduce the price so they can take it I think it can meet the gas-free deficitIt works well and does not hit things like shock All kinds of dishes can be cooked in it  otherwise you will not be able to make something like chapati .We have no problem using the item since two months ago tq bajaj Vacco......,home
3,The quality of this toy is not that good...the stand itself is bending....could he more better but might be for this price of 130 it is ok I think so,toys
1,Vvv bad,fashion
4,Very nice product in the given price range,toys
5,Amazing story. 1 of the best thriller i ever read,books
2,Not that much quality ...but ok to play,toys
4,Good for children.,toys
4,Phone is heating very soon and high,mobile
5,Superb storyline knit by Salil Desai. The climax of the book surprises  even though I got the hint of who is the killer  but it so nicely written that you read till the end to confirm your judgement of who the killer isChemistry of inspector Sarakar and Motkar makes it amusing.,books
3,Value for money  thickness sufficient for kids. actually even bigger as it appears on the picture  good buy  satisfied.,toys
1,Vvv bad,fashion
2,services are very bad,books
2,not recommended,mobile
3,Average...,toys
5,Like shoes is comfort,fashion
